"","playlist_name","playlist_uri","playlist_tracks_url","playlist_num_tracks","snapshot_id","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_added_at","track_popularity","track_preview_url","track_open_spotify_url","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"56","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Castle on the Hill","6PCUP3dWmTjcTtXY02oFdT","Ed Sheeran","÷ (Deluxe)","https://i.scdn.co/image/e6a84983ed9b0a04ce633b021329f7df034e7c7c",2017-12-05 07:25:55,84,"https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT",0.461,0.834,"D",-4.868,"major",0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,"D major"
"57","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","X (feat. Future)","6fwdbPMwP1zVStm8FybmkO","21 Savage","Savage Mode","https://i.scdn.co/image/404ff23f804534d9266b95bd5a81cb33a1675c00",2017-12-05 07:25:55,81,"https://p.scdn.co/mp3-preview/378ccd78be223f579b885d1f1195d29948514f9f?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO",0.835,0.413,"C#",-9.81,"major",0.396,0.373,0.00133,0.101,0.111,149.004,258880,4,"C# major"
"58","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Now Or Never","7i2DJ88J7jQ8K7zqFX2fW8","Halsey","hopeless fountain kingdom (Deluxe)","https://i.scdn.co/image/bdf096a7ffc6c2fa051adecf704b5695d316471a",2017-12-05 07:25:55,77,NA,"https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8",0.658,0.588,"F#",-4.902,"minor",0.0367,0.105,1.28e-06,0.125,0.434,110.075,214802,4,"F# minor"
"59","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Black Beatles","6fujklziTHa8uoM5OQSfIo","Rae Sremmurd","SremmLife 2 (Deluxe)","https://i.scdn.co/image/534eaab939f9ad6de709fbc7fa534c2daaa4f7ac",2017-12-05 07:25:55,76,NA,"https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo",0.794,0.646,"C",-6.235,"major",0.0614,0.13,0,0.14,0.322,145.931,291893,4,"C major"
"60","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","There's Nothing Holdin' Me Back","79cuOz3SPQTuFrp8WgftAu","Shawn Mendes","Illuminate (Deluxe)","https://i.scdn.co/image/c2a79e47d7487784c3be29841d3fa2bcf6b6558b",2017-12-05 07:25:55,85,NA,"https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu",0.857,0.8,"D",-4.035,"major",0.0583,0.381,0,0.0913,0.966,121.996,199440,4,"D major"
"61","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","I Fall Apart","75ZvA4QfFiZvzhj2xkaWAh","Post Malone","Stoney (Deluxe)","https://i.scdn.co/image/17e68a2e03de74a114bf6609d69f9bdbf6029f70",2017-12-05 07:25:55,90,NA,"https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh",0.573,0.543,"G#",-5.357,"minor",0.0398,0.0777,0,0.199,0.308,143.916,223347,4,"G# minor"
"62","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","No Problem (feat. Lil Wayne & 2 Chainz)","0v9Wz8o0BT8DU38R4ddjeH","Chance The Rapper","Coloring Book","https://i.scdn.co/image/717290460ec646ffa372c7f483835eaacfea34f7",2017-12-05 07:25:55,80,"https://p.scdn.co/mp3-preview/01adf736fae9dcac5dc1320daf12d8f58a273f4e?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH",0.652,0.795,"B",-5.192,"minor",0.174,0.156,0,0.123,0.788,135.018,304607,4,"B minor"
"63","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","One Dance","1xznGGDReH1oQq0xzbwXa3","Drake","Views","https://i.scdn.co/image/c0193357d5a9a2261729189694fe1488eb0045c7",2017-12-05 07:25:55,84,NA,"https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3",0.791,0.619,"C#",-5.886,"major",0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4,"C# major"
"64","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Gyalchester","6UjfByV1lDLW0SOVQA4NAi","Drake","More Life","https://i.scdn.co/image/974010663ebd1e267ac11de88e07647eefbfa19d",2017-12-05 07:25:55,77,NA,"https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi",0.872,0.389,"C#",-8.343,"major",0.0634,0.0343,0.000679,0.0941,0.156,131.012,189230,4,"C# major"
"65","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Slow Hands","38yBBH2jacvDxrznF7h08J","Niall Horan","Flicker (Deluxe)","https://i.scdn.co/image/ba46318025b0a89163deb083806643e75b039a72",2017-12-05 07:25:55,75,NA,"https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J",0.734,0.418,"C",-6.678,"major",0.0425,0.0129,0,0.0579,0.868,85.909,188174,4,"C major"
